ID,Organizations,Organization,Source_Type,P1,P2,Total_Annual,Flow,Disbursement_Type,Parish,Receiving_Type,Parish Source_Type,fips
3040,Criminal fines - other,Terrebone Parish Sheriff,Criminal Fines - Other,43544,105797,149341,more,NAN,terrebonne,Parish Sheriff,terrebonne Criminal Fines - Other,22109
3041,Civil fees,Terrebone Parish Sheriff,Civil Fees,1555944,542624,2098568,more,NAN,terrebonne,Parish Sheriff,terrebonne Civil Fees,22109
3042,Restitution,Terrebone Parish Sheriff,Restitution,10788,13263,24051,more,NAN,terrebonne,Parish Sheriff,terrebonne Restitution,22109
3043,Interest earnings on collected balances,Terrebone Parish Sheriff,Interest,1827,40,1867,more,NAN,terrebonne,Parish Sheriff,terrebonne Interest,22109
3044,"Bond fees 380, 942, BR, 2%",Terrebone Parish Sheriff,Bond Fees,254833,307565,562398,more,NAN,terrebonne,Parish Sheriff,terrebonne Bond Fees,22109
3045,Service/collection fees,Terrebone Parish Sheriff,Service/Collection Fees,380,1014,1394,more,NAN,terrebonne,Parish Sheriff,terrebonne Service/Collection Fees,22109
3046,Other - cash bonds,Terrebone Parish Sheriff,Cash Bonds,225635,393197,618832,more,NAN,terrebonne,Parish Sheriff,terrebonne Cash Bonds,22109
3047,Other - civil,Terrebone Parish Sheriff,Civil,745,286,1031,more,NAN,terrebonne,Parish Sheriff,terrebonne Civil,22109
3048,Rapides Parish District Attorney - criminal fines - other,9th Judicial District Attorney,Criminal Fines - Other,17295,20899,38194,less,Disbursements to governments & nonprofits,rapides,District Courts,rapides Criminal Fines - Other,22079
3049,Rapides Parish District Attorney - bond fees,9th Judicial District Attorney,Bond Fees,65719,79626,145345,less,Disbursements to governments & nonprofits,rapides,District Courts,rapides Bond Fees,22079
3050,Rapides Parish Clerk of Court - criminal court costs/fees,9th Judicial District Court Clerk of Court,Criminal Court Costs/Fees,21570,30780,52350,less,Disbursements to governments & nonprofits,rapides,District Courts,rapides Criminal Court Costs/Fees,22079
3051,Rapides Parish Clerk of Court - bond fees,9th Judicial District Court Clerk of Court,Bond Fees,2947,3006,5953,less,Disbursements to governments & nonprofits,rapides,District Courts,rapides Bond Fees,22079
3052,Indigent Defender Fund - criminal court costs/fees,9th Judicial District Indigent Defender Fund,Criminal Court Costs/Fees,47709,56539,104248,less,Disbursements to governments & nonprofits,rapides,District Indigent/Public Defense,rapides Criminal Court Costs/Fees,22079
3053,Indigent Defender Fund - criminal fines - other,9th Judicial District Indigent Defender Fund,Criminal Fines - Other,0,150,150,less,Disbursements to governments & nonprofits,rapides,District Indigent/Public Defense,rapides Criminal Fines - Other,22079
3054,Indigent Defender Fund - bond fees,9th Judicial District Indigent Defender Fund,Bond Fees,58351,72111,130462,less,Disbursements to governments & nonprofits,rapides,District Indigent/Public Defense,rapides Bond Fees,22079
3055,Department of Safety-LA State Police Training Academy - criminal court costs/fees,Department of Safety Louisiana State Police Training Academy,Criminal Court Costs/Fees,2492,5310,7802,less,Disbursements to governments & nonprofits,rapides,Louisiana State Police/State Services,rapides Criminal Court Costs/Fees,22079
3056,Court Appointed Special Advocate - criminal court costs/fees,Court Appointed Special Advocate,Criminal Court Costs/Fees,5352,6342,11694,less,Disbursements to governments & nonprofits,rapides,Miscellaneous,rapides Criminal Court Costs/Fees,22079
3057,Rapides Parish Police Jury - criminal court costs/fees,Rapides Parish Police Jury,Criminal Court Costs/Fees,36451,44280,80731,less,Disbursements to governments & nonprofits,rapides,Police Jury/Police Jury Costs,rapides Criminal Court Costs/Fees,22079
3058,Rapides Parish Police Jury - criminal fines - others,Rapides Parish Police Jury,Criminal Fines - Other,109532,132359,241891,less,Disbursements to governments & nonprofits,rapides,Police Jury/Police Jury Costs,rapides Criminal Fines - Other,22079
3059,Rapides Parish Police Jury - bond fees,Rapides Parish Police Jury,Bond Fees,55403,69105,124508,less,Disbursements to governments & nonprofits,rapides,Police Jury/Police Jury Costs,rapides Bond Fees,22079
3060,9th Judicial District Expense Fund - criminal court costs/fees,9th Judicial Expense Fund,Criminal Court Costs/Fees,10695,12625,23320,less,Disbursements to governments & nonprofits,rapides,Judicial Expense Funds,rapides Criminal Court Costs/Fees,22079
3061,Crimestoppers of Central Louisiana - criminal court costs/fees,Crimestoppers of Central Louisiana,Criminal Court Costs/Fees,2129,2521,4650,less,Disbursements to governments & nonprofits,rapides,Crimestoppers Organizations,rapides Criminal Court Costs/Fees,22079
3062,North Louisiana Crime Lab - criminal court costs/fees,North Louisiana Crime Laboratory,Criminal Court Costs/Fees,42736,57287,100023,less,Disbursements to governments & nonprofits,rapides,Crime Labs,rapides Criminal Court Costs/Fees,22079
3063,North Louisiana Crime Lab - bond fees,North Louisiana Crime Laboratory,Bond Fees,2947,3006,5953,less,Disbursements to governments & nonprofits,rapides,Crime Labs,rapides Bond Fees,22079
3064,Rapides Parish DARE Office - criminal court costs/fees,Rapides Parish DARE Office,Criminal Court Costs/Fees,4176,7608,11784,less,Disbursements to governments & nonprofits,rapides,DARE,rapides Criminal Court Costs/Fees,22079
3065,LA Commission on Law Enforcement - criminal court costs/fees,Louisiana Commission on Law Enforcement,Criminal Court Costs/Fees,5103,7872,12975,less,Disbursements to governments & nonprofits,rapides,Louisiana Commission on Law Enforcement,rapides Criminal Court Costs/Fees,22079
3066,LA Traumatic Head & Spinal Cord Injury Fund - criminal court costs/fees,Traumatic Head and Spinal Chord Injury Trust Fund,Criminal Court Costs/Fees,5663,7109,12772,less,Disbursements to governments & nonprofits,rapides,Traumatic Head and Spinal Chord Injury Trust Fund,rapides Criminal Court Costs/Fees,22079
3067,Louisiana Supreme Court - criminal court costs/fees,Louisiana Supreme Court,Criminal Court Costs/Fees,421,445,866,less,Disbursements to governments & nonprofits,rapides,Louisiana Supreme Court,rapides Criminal Court Costs/Fees,22079
3068,State of Louisiana Treasurer - criminal court costs/fees,State of Louisiana Treasurer,Criminal Court Costs/Fees,3177,3764,6941,less,Disbursements to governments & nonprofits,rapides,Louisiana State Treasury,rapides Criminal Court Costs/Fees,22079
3069,Rapides Parish Clerk of Court - civil fees,Rapides Parish Clerk of Court,Civil Fees,50389,66553,116942,less,Disbursements to governments & nonprofits,rapides,Parish Clerk of Court,rapides Civil Fees,22079
3070,Ascension Parish Sheriff - civil fees,Ascension Parish Sheriff,Civil Fees,0,54,54,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3071,Avoyelles Parish Sheriff - civil fees,Avoyelles Parish Sheriff,Civil Fees,30,0,30,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3072,Bossier Parish Sheriff - civil fees,Bossier Parish Sheriff,Civil Fees,77,112,189,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3073,Caddo Parish Sheriff - civil fees,Caddo Parish Sheriff,Civil Fees,0,49,49,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3074,Calcasieu Parish Sheriff - civil fees,Calcasieu Parish Sheriff,Civil Fees,31,62,93,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3075,Catahoula Parish Sheriff - civil fees,Catahoula Parish Sheriff,Civil Fees,25,0,25,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3076,City of Alexandria - civil fees,City of Alexandria,Civil Fees,7173,1527,8700,less,Disbursements to governments & nonprofits,rapides,City/Town Police and Government,rapides Civil Fees,22079
3077,City of Pineville - civil fees,City of Pineville,Civil Fees,0,382,382,less,Disbursements to governments & nonprofits,rapides,City/Town Police and Government,rapides Civil Fees,22079
3078,Desoto Parish Sheriff - civil fees,Desoto Parish Sheriff,Civil Fees,0,83,83,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3079,East Baton Rouge Parish Sheriff - civil fees,East Baton Rouge Parish Sheriff,Civil Fees,217,990,1207,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3080,Evangeline Parish Sheriff - civil fees,Evangeline Parish Sheriff,Civil Fees,0,52,52,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3081,Grant Parish Sheriff - civil fees,Grant Parish Sheriff,Civil Fees,215,178,393,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3082,Jefferson Parish Sheriff - civil fees,Jefferson Parish Sheriff,Civil Fees,270,270,540,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3083,LaSalle Parish Sheriff - civil fees,LaSalle Parish Sheriff,Civil Fees,0,61,61,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3084,Livingston Parish Sheriff - civil fees,Livingston Parish Sheriff,Civil Fees,35,0,35,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3085,Morehouse Parish Sheriff - civil fees,Morehouse Parish Sheriff,Civil Fees,0,35,35,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3086,Orleans Parish Civil Sheriff - civil fees,Orleans Parish Civil Sheriff,Civil Fees,280,330,610,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3087,Ouchita Parish Sheriff - civil fees,Ouachita Parish Sheriff,Civil Fees,107,286,393,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3088,St. Tammany Parish Sheriff - civil fees,St. Tammany Parish Sheriff,Civil Fees,0,9,9,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3089,Town of Ball - civil fees,Town of Ball,Civil Fees,119,0,119,less,Disbursements to governments & nonprofits,rapides,City/Town Police and Government,rapides Civil Fees,22079
3090,Vernon Parish Sheriff - civil fees,Vernon Parish sheriff,Civil Fees,0,44,44,less,Disbursements to governments & nonprofits,rapides,Parish Sheriff,rapides Civil Fees,22079
3091,Collection fee for collecting/disbursing to others based on percentage of collection,Collecting Agency,Unspecified,0,0,0,less,Amounts retained by collection agency,rapides,Collections/Processing,rapides Unspecified,22079
3092,Collection fee for collecting/disbursing to others based on fixed amount,Collecting Agency,Unspecified,0,0,0,less,Amounts retained by collection agency,rapides,Collections/Processing,rapides Unspecified,22079
3093,Self-disbursed - Civil fees,Self-Disbursed to Collecting Agency,Civil Fees,314267,298742,613009,less,Amounts retained by collection agency,rapides,Collections/Processing,rapides Civil Fees,22079
3094,Self-disbursed - Criminal court cost/fees,Self-Disbursed to Collecting Agency,Criminal Court Costs/Fees,7089,9203,16292,less,Amounts retained by collection agency,rapides,Collections/Processing,rapides Criminal Court Costs/Fees,22079
3095,Self-disbursed - Criminal fines - other,Self-Disbursed to Collecting Agency,Criminal Fines - Other,17295,20899,38194,less,Amounts retained by collection agency,rapides,Collections/Processing,rapides Criminal Fines - Other,22079
3096,Self-disbursed - Bond fees,Self-Disbursed to Collecting Agency,Bond Fees,80444,94635,175079,less,Amounts retained by collection agency,rapides,Collections/Processing,rapides Bond Fees,22079
3097,Self-disbursed - Service/collection fees,Self-Disbursed to Collecting Agency,Service/Collection Fees,2115,4207,6322,less,Disbursements to individuals/3rd party collection or processing agencies,rapides,Collections/Processing,rapides Service/Collection Fees,22079
3098,Civil fee refunds,Individuals - Civil Fee Refunds,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,rapides,Individuals - Specified,rapides Unspecified,22079
3099,Bond fee refunds,Individuals - Bond Fee Refunds,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,rapides,Individuals - Specified,rapides Unspecified,22079
3100,Restitution payments to individuals,Individuals - Restitution,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,rapides,Individuals - Specified,rapides Unspecified,22079
3101,Other disbursements to individuals,Individuals - Other,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,rapides,Individuals - Unspecified Other,rapides Unspecified,22079
3102,Payments to 3rd party collection/processing agencies,3rd Party Collection/Processing Agencies,Unspecified,53943,61674,115617,less,Disbursements to individuals/3rd party collection or processing agencies,rapides,Collections/Processing,rapides Unspecified,22079
3103,Second Judicial Expense Fund - Bond Fees,2nd Judicial District Expense Fund,Bond Fees,2613,5001,7614,less,Disbursements to governments & nonprofits,claiborne,District Courts,claiborne Bond Fees,22027
3104,Second Judicial Expense Fund - Secretary - Criminal Fines-Other,2nd Judicial District Expense Fund,Criminal Fines - Other,30261,22740,53001,less,Disbursements to governments & nonprofits,claiborne,District Courts,claiborne Criminal Fines - Other,22027
3105,Second Judicial District Criminal Court - Criminal Fines-Other,2nd Judicial District Expense Fund,Criminal Fines - Other,34041,40554,74595,less,Disbursements to governments & nonprofits,claiborne,District Courts,claiborne Criminal Fines - Other,22027
3106,Indigent Defender Board - Bond Fees,Claiborne Indigent Defender Board,Bond Fees,2963,5457,8420,less,Disbursements to governments & nonprofits,claiborne,Parish Indigent/Public Defense,claiborne Bond Fees,22027
3107,Indigent Defender Board - Criminal Court Costs/Fees,Claiborne Indigent Defender Board,Criminal Court Costs/Fees,33605,33300,66905,less,Disbursements to governments & nonprofits,claiborne,Parish Indigent/Public Defense,claiborne Criminal Court Costs/Fees,22027
3108,La Commission on Law Enforcement - Criminal Court Costs/Fees,Louisiana Commission on Law Enforcement,Criminal Court Costs/Fees,2382,2345,4727,less,Disbursements to governments & nonprofits,claiborne,Louisiana Commission on Law Enforcement,claiborne Criminal Court Costs/Fees,22027
3109,LA Commission on Law Enforcement - Drug Abuse & Treatment - Criminal Court Costs/Fees,Louisiana Commission on Law Enforcement - Drug Abuse Education and Treatment Fund,Criminal Court Costs/Fees,500,1000,1500,less,Disbursements to governments & nonprofits,claiborne,Louisiana Commission on Law Enforcement,claiborne Criminal Court Costs/Fees,22027
3110,"LA State Treasurer, Help Wildlife - Criminal Court Costs/Fees",Louisiana Department of Wildlife and Fisheries,Criminal Court Costs/Fees,155,40,195,less,Disbursements to governments & nonprofits,claiborne,Louisiana Department of Wildlife and Fisheries,claiborne Criminal Court Costs/Fees,22027
3111,LA Supreme Court Judicial Administrator - Criminal Court Costs/Fees,"Supreme Court of Louisiana, Judicial Admin",Criminal Court Costs/Fees,403,390,793,less,Disbursements to governments & nonprofits,claiborne,Louisiana Supreme Court,claiborne Criminal Court Costs/Fees,22027
